2026-06-18T20:31:08+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=truss2d | seed=3 | time=1574.858320236206 | MSE_test=1941446829739.4084 | MSE_sur_real=18871816.489830643 | HV_sur=1.1362065940716086 | HV_real=1.136587215539903 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:31:41+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re22 | seed=3 | time=1509.353366136551 | MSE_test=1268.8340033420293 | MSE_sur_real=5.7974268334248595 | HV_sur=1.2071835897063803 | HV_real=1.2021135513253667 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:32:40+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re25 | seed=3 | time=1652.8777537345886 | MSE_test=34106157725.14942 | MSE_sur_real=299434730.4502646 | HV_sur=1.1217912326956447 | HV_real=1.1214879406785112 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:33:10+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re21 | seed=3 | time=1582.1382739543915 | MSE_test=0.5398305604998799 | MSE_sur_real=13.07697289368128 | HV_sur=0.5785960894777433 | HV_real=0.5723100570536027 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:34:10+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re24 | seed=3 | time=1652.4782691001892 | MSE_test=3.44488941509889 | MSE_sur_real=40.12478039765693 | HV_sur=1.187516795292873 | HV_real=1.186669561624585 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:35:42+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=mo-portfolio | seed=3 | time=1561.0917477607727 | MSE_test=1.8762854345547693e-07 | MSE_sur_real=7.944333530867775e-05 | HV_sur=0.30357220355767217 | HV_real=0.2769091487769066 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:54:46+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re23 | seed=4 | time=1530.3213782310486 | MSE_test=137124526.4472287 | MSE_sur_real=443226872.23970693 | HV_sur=1.210677528282447 | HV_real=1.209576135875057 | HV_bounds_check=False | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:54:55+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re22 | seed=4 | time=1374.7499256134033 | MSE_test=1268.8340033420293 | MSE_sur_real=5.6989259922176165 | HV_sur=1.2086187186107116 | HV_real=1.202141964486228 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:55:15+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=truss2d | seed=4 | time=1432.3419816493988 | MSE_test=1941446829739.4084 | MSE_sur_real=20040591.428926233 | HV_sur=1.1348670416481001 | HV_real=1.135689303026616 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:55:19+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=welded_beam | seed=4 | time=1509.1694343090057 | MSE_test=131.83552060641208 | MSE_sur_real=0.3178544934054412 | HV_sur=0.5941063292812295 | HV_real=0.5944609171593295 | HV_bounds_check=True | solution_count=41 | no_feasible_solution=False | no_feasible_reason=None
