
# 2026-06-17T16:24:16+01:00 | Autogluon_Ensemble
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=24 | time=11.397717237472534 | MSE_test=42.990981514086506 | MSE_sur_real=1399.8964831017668 | HV_sur=0.5243082502363098 | HV_real=0.5707921195801205 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=25 | time=9.455820083618164 | MSE_test=42.990981514086506 | MSE_sur_real=1572.0799228850976 | HV_sur=0.5245036484820219 | HV_real=0.5716866121547863 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=26 | time=9.430084943771362 | MSE_test=42.990981514086506 | MSE_sur_real=1284.4709595463662 | HV_sur=0.5245284673565025 | HV_real=0.5712556208331953 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=27 | time=9.380852937698364 | MSE_test=42.990981514086506 | MSE_sur_real=1463.5988026965765 | HV_sur=0.5244054474528502 | HV_real=0.5708801245235424 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=28 | time=9.463070631027222 | MSE_test=42.990981514086506 | MSE_sur_real=1247.7870635794154 | HV_sur=0.5244101730476307 | HV_real=0.5710003967095179 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=29 | time=9.224783658981323 | MSE_test=42.990981514086506 | MSE_sur_real=1504.060870691152 | HV_sur=0.5244727603938308 | HV_real=0.5716985693349982 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=30 | time=12.632538318634033 | MSE_test=42.990981514086506 | MSE_sur_real=1093.1192783446868 | HV_sur=0.5242546910789405 | HV_real=0.5710924944592796 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=1 | time=10.438118696212769 | MSE_test=6802.0501741841235 | MSE_sur_real=176629.47064980038 | HV_sur=1.1623945604610098 | HV_real=1.2021984182534216 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=2 | time=9.735464811325073 | MSE_test=6802.0501741841235 | MSE_sur_real=165303.55348770745 | HV_sur=1.162385101401021 | HV_real=1.2021982498252841 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=3 | time=9.871264219284058 | MSE_test=6802.0501741841235 | MSE_sur_real=175792.47513611362 | HV_sur=1.162400639010503 | HV_real=1.2021984230568716 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=4 | time=10.046064615249634 | MSE_test=6802.0501741841235 | MSE_sur_real=147743.64246582234 | HV_sur=1.1624000927835862 | HV_real=1.2021984223011217 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=5 | time=10.401826858520508 | MSE_test=6802.0501741841235 | MSE_sur_real=172137.5584567742 | HV_sur=1.162399834279459 | HV_real=1.202198422275339 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=6 | time=10.176301002502441 | MSE_test=6802.0501741841235 | MSE_sur_real=180529.43016596054 | HV_sur=1.1623762539837532 | HV_real=1.2021980602046987 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=7 | time=16.840521097183228 | MSE_test=6802.0501741841235 | MSE_sur_real=148059.97522161016 | HV_sur=1.1623875257346905 | HV_real=1.2021983909609342 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=8 | time=10.019696712493896 | MSE_test=6802.0501741841235 | MSE_sur_real=175097.31834682255 | HV_sur=1.1623994192524463 | HV_real=1.202198422476532 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=9 | time=9.424721240997314 | MSE_test=6802.0501741841235 | MSE_sur_real=178440.35581091145 | HV_sur=1.1623917666248975 | HV_real=1.2021983708290316 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=10 | time=10.227871894836426 | MSE_test=6802.0501741841235 | MSE_sur_real=165712.71769457235 | HV_sur=1.1623978047021002 | HV_real=1.2021984169443511 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=11 | time=10.097089290618896 | MSE_test=6802.0501741841235 | MSE_sur_real=172276.02705512225 | HV_sur=1.162398751166549 | HV_real=1.2021984216063208 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=12 | time=9.773206949234009 | MSE_test=6802.0501741841235 | MSE_sur_real=141769.7482130578 | HV_sur=1.162398685758953 | HV_real=1.2021984213386014 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=13 | time=10.141457557678223 | MSE_test=6802.0501741841235 | MSE_sur_real=173359.88346689762 | HV_sur=1.162399930446351 | HV_real=1.2021984229231293 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=14 | time=9.472010850906372 | MSE_test=6802.0501741841235 | MSE_sur_real=145949.77239292092 | HV_sur=1.1624007001287568 | HV_real=1.2021984229422138 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=15 | time=17.780330181121826 | MSE_test=6802.0501741841235 | MSE_sur_real=158890.42084654007 | HV_sur=1.1623960640410975 | HV_real=1.2021984230782212 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=16 | time=10.16752815246582 | MSE_test=6802.0501741841235 | MSE_sur_real=315602.1956420303 | HV_sur=1.1624000826618257 | HV_real=1.202198422952507 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=17 | time=10.154195070266724 | MSE_test=6802.0501741841235 | MSE_sur_real=179841.73328706465 | HV_sur=1.1623922829053985 | HV_real=1.2021984135963626 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=18 | time=10.009659051895142 | MSE_test=6802.0501741841235 | MSE_sur_real=146876.6846692443 | HV_sur=1.1623947734254125 | HV_real=1.2021984189585915 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=19 | time=9.683377027511597 | MSE_test=6802.0501741841235 | MSE_sur_real=168871.15213358428 | HV_sur=1.1623880567767586 | HV_real=1.2021984166710689 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=20 | time=9.638253927230835 | MSE_test=6802.0501741841235 | MSE_sur_real=175708.3779369765 | HV_sur=1.162396595080753 | HV_real=1.2021984177171936 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=21 | time=10.181957244873047 | MSE_test=6802.0501741841235 | MSE_sur_real=182567.05810678535 | HV_sur=1.162396595082528 | HV_real=1.2021984125534033 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=22 | time=10.227463722229004 | MSE_test=6802.0501741841235 | MSE_sur_real=161878.3307251369 | HV_sur=1.1623856581404974 | HV_real=1.2021982794897568 | HV_bounds_check=True | solution_count=100
