
# 2026-06-18T15:28:46+01:00 | BNN
method=BNN | optimizer=NSGA-II | problem=re23 | seed=26 | time=25.518503427505493 | MSE_test=24055991755.051407 | MSE_sur_real=10700654973.808603 | HV_sur=1.1226891474378171 | HV_real=1.196473119296849 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=27 | time=24.52259111404419 | MSE_test=24055991755.051407 | MSE_sur_real=40049398443.17218 | HV_sur=1.1222963613835344 | HV_real=1.1929996673209906 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=28 | time=24.60953402519226 | MSE_test=24055991755.051407 | MSE_sur_real=29275897628.70851 | HV_sur=1.1229417609613404 | HV_real=1.1989212314581434 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=29 | time=24.729037523269653 | MSE_test=24055991755.051407 | MSE_sur_real=7812987180.367083 | HV_sur=1.1228583771642142 | HV_real=1.194365107795462 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=30 | time=24.941962718963623 | MSE_test=24055991755.051407 | MSE_sur_real=44541673533.09479 | HV_sur=1.122832462751949 | HV_real=1.1989692640904 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=1 | time=25.137625455856323 | MSE_test=24055991755.051407 | MSE_sur_real=23745140757.604496 | HV_sur=1.1225460647030672 | HV_real=1.1911831433486517 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=2 | time=25.3404598236084 | MSE_test=24055991755.051407 | MSE_sur_real=68281579171.49466 | HV_sur=1.1223433439508648 | HV_real=1.1983533236332733 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=3 | time=25.537288904190063 | MSE_test=24055991755.051407 | MSE_sur_real=18302019883.30559 | HV_sur=1.1222560831382127 | HV_real=1.201594518394553 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=4 | time=24.122679948806763 | MSE_test=24055991755.051407 | MSE_sur_real=23136751680.80891 | HV_sur=1.1223868744899608 | HV_real=1.1977504015239921 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=5 | time=25.626210689544678 | MSE_test=24055991755.051407 | MSE_sur_real=34736943707.306694 | HV_sur=1.1227018108941578 | HV_real=1.1927416193507923 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=6 | time=25.729238986968994 | MSE_test=24055991755.051407 | MSE_sur_real=14633361052.434687 | HV_sur=1.1222201446951299 | HV_real=1.1900412408101235 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=7 | time=24.270416259765625 | MSE_test=24055991755.051407 | MSE_sur_real=90285240441.02051 | HV_sur=1.1219643608159395 | HV_real=1.2040602444896928 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=8 | time=26.01186752319336 | MSE_test=24055991755.051407 | MSE_sur_real=35617903318.15061 | HV_sur=1.1223274203672404 | HV_real=1.2002709918241314 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=9 | time=24.49442720413208 | MSE_test=24055991755.051407 | MSE_sur_real=15733783734.99256 | HV_sur=1.1226092605820015 | HV_real=1.1970443639886208 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=10 | time=26.33873176574707 | MSE_test=24055991755.051407 | MSE_sur_real=44825065267.706436 | HV_sur=1.1226068948120582 | HV_real=1.202612839391918 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=11 | time=24.7343430519104 | MSE_test=24055991755.051407 | MSE_sur_real=18288147442.86604 | HV_sur=1.12239073205772 | HV_real=1.1961755814690582 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=12 | time=24.748753547668457 | MSE_test=24055991755.051407 | MSE_sur_real=76682325483.42323 | HV_sur=1.1224913590873564 | HV_real=1.199856325744806 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=13 | time=24.834962368011475 | MSE_test=24055991755.051407 | MSE_sur_real=15248816256.739563 | HV_sur=1.122114453830471 | HV_real=1.1970234901438845 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=14 | time=26.92608618736267 | MSE_test=24055991755.051407 | MSE_sur_real=14458686994.045393 | HV_sur=1.1227091341426343 | HV_real=1.1961630740554625 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=15 | time=25.158668756484985 | MSE_test=24055991755.051407 | MSE_sur_real=11108394251.46617 | HV_sur=1.1226168390819118 | HV_real=1.1963936311283856 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=16 | time=25.264223337173462 | MSE_test=24055991755.051407 | MSE_sur_real=32521176930.14724 | HV_sur=1.1222855459610868 | HV_real=1.1981865494305846 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=17 | time=25.307440996170044 | MSE_test=24055991755.051407 | MSE_sur_real=74298199556.10141 | HV_sur=1.1226598697895565 | HV_real=1.2014912280125587 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=18 | time=25.349436283111572 | MSE_test=24055991755.051407 | MSE_sur_real=133496319805.2046 | HV_sur=1.1227814231172646 | HV_real=1.1938303181773657 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=19 | time=25.278153657913208 | MSE_test=24055991755.051407 | MSE_sur_real=15152496615.230646 | HV_sur=1.1223302467754726 | HV_real=1.1953621635560114 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=20 | time=25.2488272190094 | MSE_test=24055991755.051407 | MSE_sur_real=54088965608.13376 | HV_sur=1.1219302011266754 | HV_real=1.1991335469113804 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=21 | time=25.782726764678955 | MSE_test=24055991755.051407 | MSE_sur_real=51476684432.09281 | HV_sur=1.1223827269953361 | HV_real=1.197892706780723 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=22 | time=25.832321643829346 | MSE_test=24055991755.051407 | MSE_sur_real=32847188606.622475 | HV_sur=1.1220513786551263 | HV_real=1.1947338050543255 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=23 | time=25.87996745109558 | MSE_test=24055991755.051407 | MSE_sur_real=43881928047.84411 | HV_sur=1.1220502622175548 | HV_real=1.201575714721149 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=24 | time=26.046074390411377 | MSE_test=24055991755.051407 | MSE_sur_real=15339729943.311678 | HV_sur=1.122520862379226 | HV_real=1.1969665020447249 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=25 | time=23.55489754676819 | MSE_test=24055991755.051407 | MSE_sur_real=31255715238.772415 | HV_sur=1.122477395881734 | HV_real=1.1938610179187084 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=26 | time=23.87742328643799 | MSE_test=24055991755.051407 | MSE_sur_real=32972292068.00716 | HV_sur=1.1220832476970664 | HV_real=1.1929276061111802 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=27 | time=26.322623014450073 | MSE_test=24055991755.051407 | MSE_sur_real=27104181058.055668 | HV_sur=1.1224844864392933 | HV_real=1.1942052490229753 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=28 | time=26.283698558807373 | MSE_test=24055991755.051407 | MSE_sur_real=8621209872.247482 | HV_sur=1.1222003697792473 | HV_real=1.1923415891183031 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=29 | time=24.027960062026978 | MSE_test=24055991755.051407 | MSE_sur_real=51865235521.99092 | HV_sur=1.1225276147992964 | HV_real=1.2013515491874738 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re23 | seed=30 | time=26.475903511047363 | MSE_test=24055991755.051407 | MSE_sur_real=43539160527.025795 | HV_sur=1.1225594716826484 | HV_real=1.1984503719082078 | HV_bounds_check=True | solution_count=None

# 2026-06-18T15:32:39+01:00 | BNN
method=BNN | optimizer=NSGA-II | problem=re24 | seed=1 | time=24.104066610336304 | MSE_test=48.8482704555371 | MSE_sur_real=56.23161709331639 | HV_sur=1.1843857793667858 | HV_real=1.1864253416232953 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=2 | time=24.440592527389526 | MSE_test=48.8482704555371 | MSE_sur_real=65.24869721865014 | HV_sur=1.1844268495997559 | HV_real=1.1865412210621753 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=3 | time=24.248687028884888 | MSE_test=48.8482704555371 | MSE_sur_real=56.4324718636271 | HV_sur=1.1844126357572498 | HV_real=1.1864966099899745 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=4 | time=24.155942678451538 | MSE_test=48.8482704555371 | MSE_sur_real=62.23780089124684 | HV_sur=1.1844071406847263 | HV_real=1.1865120843247268 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=5 | time=25.216500759124756 | MSE_test=48.8482704555371 | MSE_sur_real=57.5039767943633 | HV_sur=1.1844151629469744 | HV_real=1.1864942586930756 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=6 | time=24.753966331481934 | MSE_test=48.8482704555371 | MSE_sur_real=71.83786038431461 | HV_sur=1.1844317728138871 | HV_real=1.1865671975790795 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=7 | time=24.62159276008606 | MSE_test=48.8482704555371 | MSE_sur_real=65.11441183854573 | HV_sur=1.1844361445100726 | HV_real=1.1865469463479625 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=8 | time=24.536091566085815 | MSE_test=48.8482704555371 | MSE_sur_real=56.320343536344616 | HV_sur=1.1844021310771513 | HV_real=1.1865712527655448 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=9 | time=24.43403172492981 | MSE_test=48.8482704555371 | MSE_sur_real=55.281711777507624 | HV_sur=1.1844160067566092 | HV_real=1.1865128186074267 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=10 | time=24.78685426712036 | MSE_test=48.8482704555371 | MSE_sur_real=53.334074771898884 | HV_sur=1.1844322914517158 | HV_real=1.186546650376585 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=11 | time=24.506727933883667 | MSE_test=48.8482704555371 | MSE_sur_real=55.89118931492242 | HV_sur=1.1844333435610157 | HV_real=1.186513360722056 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=12 | time=24.795798301696777 | MSE_test=48.8482704555371 | MSE_sur_real=60.80324852214083 | HV_sur=1.1844141552860734 | HV_real=1.1865135546743646 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=13 | time=25.16930389404297 | MSE_test=48.8482704555371 | MSE_sur_real=56.69884521475119 | HV_sur=1.1844182861427899 | HV_real=1.1865261121914348 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=14 | time=24.77286386489868 | MSE_test=48.8482704555371 | MSE_sur_real=65.63993227634442 | HV_sur=1.184419869358591 | HV_real=1.186535837908927 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=15 | time=24.950292587280273 | MSE_test=48.8482704555371 | MSE_sur_real=69.699828224384 | HV_sur=1.1844270529541474 | HV_real=1.1865806894836677 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=16 | time=24.38875102996826 | MSE_test=48.8482704555371 | MSE_sur_real=70.70165669320724 | HV_sur=1.184430697471653 | HV_real=1.1865293066017 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=17 | time=24.575812578201294 | MSE_test=48.8482704555371 | MSE_sur_real=60.1696838849402 | HV_sur=1.1844389329979097 | HV_real=1.1865609590698967 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=18 | time=25.58275270462036 | MSE_test=48.8482704555371 | MSE_sur_real=68.21694711311541 | HV_sur=1.1843872158422672 | HV_real=1.1864573746858653 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=19 | time=24.06964087486267 | MSE_test=48.8482704555371 | MSE_sur_real=64.1710302183379 | HV_sur=1.184421903909191 | HV_real=1.1865305457626731 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=20 | time=25.17656397819519 | MSE_test=48.8482704555371 | MSE_sur_real=73.80893991484446 | HV_sur=1.1844272532842635 | HV_real=1.186547697468461 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=21 | time=24.3780255317688 | MSE_test=48.8482704555371 | MSE_sur_real=54.22216056260855 | HV_sur=1.1844306254635733 | HV_real=1.1865444484332204 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=22 | time=24.506540060043335 | MSE_test=48.8482704555371 | MSE_sur_real=68.84667105344434 | HV_sur=1.1844181552263988 | HV_real=1.1864771311125089 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=23 | time=24.687138319015503 | MSE_test=48.8482704555371 | MSE_sur_real=54.91605677445679 | HV_sur=1.184420931751415 | HV_real=1.1865457664865053 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=24 | time=24.866785526275635 | MSE_test=48.8482704555371 | MSE_sur_real=53.61650861270669 | HV_sur=1.1844419364415553 | HV_real=1.1865946812206623 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=25 | time=25.03027105331421 | MSE_test=48.8482704555371 | MSE_sur_real=68.99390333409512 | HV_sur=1.1844185444671327 | HV_real=1.186507089017732 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=26 | time=25.21135950088501 | MSE_test=48.8482704555371 | MSE_sur_real=62.088916518289736 | HV_sur=1.1844342330197786 | HV_real=1.1865208181891937 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=27 | time=24.162179231643677 | MSE_test=48.8482704555371 | MSE_sur_real=57.55226569336607 | HV_sur=1.1844342895637823 | HV_real=1.1865456357566393 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=28 | time=25.495445251464844 | MSE_test=48.8482704555371 | MSE_sur_real=62.902143974718655 | HV_sur=1.1844270646199189 | HV_real=1.1865089737927712 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=29 | time=24.375351905822754 | MSE_test=48.8482704555371 | MSE_sur_real=52.06787283632521 | HV_sur=1.1844130098524566 | HV_real=1.1865096897095992 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re24 | seed=30 | time=24.44271206855774 | MSE_test=48.8482704555371 | MSE_sur_real=56.79091312880438 | HV_sur=1.1844171739576126 | HV_real=1.1864831050062674 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re24 | seed=1 | time=26.116272687911987 | MSE_test=48.8482704555371 | MSE_sur_real=71.82571835717883 | HV_sur=1.1843876720502213 | HV_real=1.186551870211963 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re24 | seed=2 | time=24.977750778198242 | MSE_test=48.8482704555371 | MSE_sur_real=74.31116024239329 | HV_sur=1.1844066223669705 | HV_real=1.1866072514524084 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re24 | seed=3 | time=25.160221815109253 | MSE_test=48.8482704555371 | MSE_sur_real=69.32605048946029 | HV_sur=1.1844356293538607 | HV_real=1.1866196555890562 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re24 | seed=4 | time=23.76575517654419 | MSE_test=48.8482704555371 | MSE_sur_real=76.00092544336742 | HV_sur=1.1843968373943659 | HV_real=1.186550242593626 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re24 | seed=5 | time=25.42508339881897 | MSE_test=48.8482704555371 | MSE_sur_real=71.69301111107696 | HV_sur=1.1844108869304635 | HV_real=1.1865679556450586 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re24 | seed=6 | time=25.538217306137085 | MSE_test=48.8482704555371 | MSE_sur_real=72.11481400577635 | HV_sur=1.184418328205493 | HV_real=1.1865073960603476 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re24 | seed=7 | time=25.631560802459717 | MSE_test=48.8482704555371 | MSE_sur_real=70.79585423834432 | HV_sur=1.184413566628611 | HV_real=1.1865150153439428 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re24 | seed=8 | time=25.772319078445435 | MSE_test=48.8482704555371 | MSE_sur_real=58.730576691363275 | HV_sur=1.18443314000363 | HV_real=1.1866203813716827 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=Dual-Ranking+NSGA-II | problem=re24 | seed=9 | time=24.164459943771362 | MSE_test=48.8482704555371 | MSE_sur_real=66.97077746069957 | HV_sur=1.1844287529161028 | HV_real=1.1866131690736865 | HV_bounds_check=True | solution_count=None
