
# 2026-06-17T21:56:29+00:00 | GPR_RBF
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=24 | time=1.7227942943572998 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.27264409082971e-05 | HV_sur=0.5704986640913335 | HV_real=0.5707961775501529 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=25 | time=1.6942532062530518 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.167965383628124e-05 | HV_sur=0.572044148941401 | HV_real=0.5723718160685561 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=26 | time=1.7198643684387207 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.444641476868796e-05 | HV_sur=0.5720826808179461 | HV_real=0.5724107217047514 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=27 | time=1.6776869297027588 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.145918305861346e-05 | HV_sur=0.5723852201293048 | HV_real=0.5727211277209334 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=28 | time=1.7049283981323242 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.3837179997537884e-05 | HV_sur=0.5721028980133092 | HV_real=0.5724449682106754 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=29 | time=1.6781322956085205 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.517801881854269e-05 | HV_sur=0.572360381874025 | HV_real=0.572698362296283 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=30 | time=1.6794474124908447 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.65502724281009e-05 | HV_sur=0.5720210724713943 | HV_real=0.5723508584951688 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=1 | time=1.913379430770874 | MSE_test=4.916724424247195e-06 | MSE_sur_real=4.8601928341538385e-05 | HV_sur=0.5666908933113235 | HV_real=0.5670325278359701 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=2 | time=1.936884880065918 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.2987887434067e-05 | HV_sur=0.5719722326098751 | HV_real=0.5722764825365457 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=3 | time=1.959770917892456 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.604228916571379e-05 | HV_sur=0.5721394242851653 | HV_real=0.5724640254378422 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=4 | time=1.880659580230713 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.107520538183876e-05 | HV_sur=0.5681575105193978 | HV_real=0.5685142416915762 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=5 | time=1.8661773204803467 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.665720524413242e-05 | HV_sur=0.5722349937444259 | HV_real=0.5725672172113851 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=6 | time=1.8554372787475586 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.497256444792854e-05 | HV_sur=0.5716235997056348 | HV_real=0.571922677414449 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=7 | time=1.8235154151916504 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.463096078685506e-05 | HV_sur=0.5721612842941863 | HV_real=0.5725051221351793 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=8 | time=1.8779170513153076 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.6580115473272766e-05 | HV_sur=0.5723196354854867 | HV_real=0.5726723292977595 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=9 | time=1.904162883758545 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.5872103408808836e-05 | HV_sur=0.5721295522251579 | HV_real=0.5724551931093189 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=10 | time=1.910834550857544 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.2003228862103385e-05 | HV_sur=0.5718127783300743 | HV_real=0.5721295504781312 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=11 | time=1.916163682937622 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.2451671831840556e-05 | HV_sur=0.5720642536667346 | HV_real=0.5723725469572013 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=12 | time=1.9009613990783691 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.489436200473356e-05 | HV_sur=0.5725069306697137 | HV_real=0.5728315229964616 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=13 | time=1.869945764541626 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.5125470587995985e-05 | HV_sur=0.5717722333323693 | HV_real=0.5721003520175781 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=14 | time=1.9383432865142822 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.6384981807929174e-05 | HV_sur=0.5715015282061174 | HV_real=0.5718289752642746 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=15 | time=1.9921932220458984 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.492475413052695e-05 | HV_sur=0.5725411700797576 | HV_real=0.5728617995666436 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=16 | time=1.9419066905975342 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.732463499807467e-05 | HV_sur=0.571809050550129 | HV_real=0.572146589731702 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=17 | time=1.8392882347106934 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.400165820267374e-05 | HV_sur=0.5722733136751663 | HV_real=0.572606410698376 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=18 | time=1.8634390830993652 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.443790900740298e-05 | HV_sur=0.5720675415819846 | HV_real=0.5724114628314299 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=19 | time=1.8004684448242188 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.644412679855313e-05 | HV_sur=0.5719615670087771 | HV_real=0.5722820868034383 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=20 | time=1.8332242965698242 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.609089775660848e-05 | HV_sur=0.5718135586274903 | HV_real=0.5721642301127794 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=21 | time=1.8935527801513672 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.583031650698963e-05 | HV_sur=0.5723999993990603 | HV_real=0.5727417376606401 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=22 | time=1.888676643371582 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.176316429160442e-05 | HV_sur=0.5721655032344012 | HV_real=0.572479758739745 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=23 | time=2.0185320377349854 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.4804511653535227e-05 | HV_sur=0.5717984916677634 | HV_real=0.5721020067527982 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=24 | time=1.8441603183746338 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.317075687640465e-05 | HV_sur=0.5722816241950965 | HV_real=0.5726071941006413 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=25 | time=1.8084290027618408 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.509162929758376e-05 | HV_sur=0.5717510864001927 | HV_real=0.5720705235630281 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=26 | time=1.8651914596557617 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.450371501513071e-05 | HV_sur=0.5720171057319531 | HV_real=0.5723546271381013 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=27 | time=1.8587791919708252 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.037978973641497e-05 | HV_sur=0.5723121304417763 | HV_real=0.5726447113352788 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=28 | time=1.9308655261993408 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.643644426915031e-05 | HV_sur=0.5717194148115187 | HV_real=0.5720615386271958 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=29 | time=1.9930717945098877 | MSE_test=4.916724424247195e-06 | MSE_sur_real=4.922525743764899e-05 | HV_sur=0.5685315735187373 | HV_real=0.5688701813752306 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=30 | time=1.9131600856781006 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.5738284810036484e-05 | HV_sur=0.5716198893039857 | HV_real=0.5719579793714045 | HV_bounds_check=True | solution_count=None

# 2026-06-17T21:58:41+00:00 | GPR_RBF
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=1 | time=1.7887804508209229 | MSE_test=31131.265995659996 | MSE_sur_real=4017300552876651.5 | HV_sur=1.2014121631184063 | HV_real=1.2021984222323678 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=2 | time=1.8123552799224854 | MSE_test=31131.265995659996 | MSE_sur_real=206622898654.0582 | HV_sur=1.2014115775621104 | HV_real=1.2021984105492258 | HV_bounds_check=True | solution_count=None
