
# 2026-06-17T14:36:15+01:00 | DDMOEA-GAN
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=24 | time=1.8623967170715332 | MSE_test=115618.00531946498 | MSE_sur_real=1089196.4114147692 | HV_sur=0.9814299776931561 | HV_real=0.4092130958778599 | HV_bounds_check=None | solution_count=9
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=25 | time=2.1003401279449463 | MSE_test=115618.00531946498 | MSE_sur_real=966039.6234848287 | HV_sur=0.9814371033756278 | HV_real=0.409217801786998 | HV_bounds_check=None | solution_count=12
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=26 | time=2.0744259357452393 | MSE_test=115618.00531946498 | MSE_sur_real=1089136.7761709194 | HV_sur=0.9814359118112072 | HV_real=0.4092122008586006 | HV_bounds_check=None | solution_count=9
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=27 | time=2.080998420715332 | MSE_test=115618.00531946498 | MSE_sur_real=971262.1527438187 | HV_sur=0.9814311337577579 | HV_real=0.40922110882646745 | HV_bounds_check=None | solution_count=11
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=28 | time=2.10528302192688 | MSE_test=115618.00531946498 | MSE_sur_real=1089187.8769064224 | HV_sur=0.9814358841270192 | HV_real=0.4092157162717473 | HV_bounds_check=None | solution_count=9
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=29 | time=2.1436610221862793 | MSE_test=115618.00531946498 | MSE_sur_real=994596.2876087492 | HV_sur=0.9814366771112039 | HV_real=0.40922751496960375 | HV_bounds_check=None | solution_count=11
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=30 | time=1.620152235031128 | MSE_test=115618.00531946498 | MSE_sur_real=979916.9843841795 | HV_sur=0.981436282493316 | HV_real=0.40921328276878866 | HV_bounds_check=None | solution_count=12
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=1 | time=2.01444149017334 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=5
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=2 | time=2.5366320610046387 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=4
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=3 | time=2.058349132537842 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=8
