
# 2026-06-17T14:40:28+01:00 | TGPR-MO
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=25 | time=3.5449609756469727 | MSE_test=2634.1262279876673 | MSE_sur_real=5505.175596368266 | HV_sur=0.5475793960551552 | HV_real=0.5526833794179942 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=26 | time=3.381481409072876 | MSE_test=2634.1262279876673 | MSE_sur_real=5295.087322823879 | HV_sur=0.5482361025493149 | HV_real=0.5504353941024128 | HV_bounds_check=None | solution_count=49
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=27 | time=3.2089710235595703 | MSE_test=2634.1262279876673 | MSE_sur_real=5711.972874077158 | HV_sur=0.548646270246156 | HV_real=0.5470780450602164 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=28 | time=3.1653311252593994 | MSE_test=2634.1262279876673 | MSE_sur_real=4446.952308851647 | HV_sur=0.5484550152295851 | HV_real=0.5429948340383786 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=29 | time=3.182678699493408 | MSE_test=2634.1262279876673 | MSE_sur_real=4543.383709709686 | HV_sur=0.5477020866783969 | HV_real=0.5529508111573366 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=30 | time=3.1570115089416504 | MSE_test=2634.1262279876673 | MSE_sur_real=4934.263578820753 | HV_sur=0.5473558059463736 | HV_real=0.5532931243471045 | HV_bounds_check=None | solution_count=49
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=1 | time=3.026472806930542 | MSE_test=393423.287807428 | MSE_sur_real=2953.3676013662125 | HV_sur=1.2013223187762674 | HV_real=1.2021984362730382 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=2 | time=3.036486864089966 | MSE_test=393423.287807428 | MSE_sur_real=3013.0665397176913 | HV_sur=1.201321779133808 | HV_real=1.2021984362407359 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=3 | time=2.9117722511291504 | MSE_test=393423.287807428 | MSE_sur_real=2989.370343061465 | HV_sur=1.2013235058474527 | HV_real=1.2021835155544167 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=4 | time=2.95552134513855 | MSE_test=393423.287807428 | MSE_sur_real=2869.926616140303 | HV_sur=1.2013242043798178 | HV_real=1.2021984362395892 | HV_bounds_check=None | solution_count=50
