
# 2026-06-17T21:56:45+00:00 | GPR_Matern
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=24 | time=1.8669791221618652 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.45299939940907e-05 | HV_sur=0.5706725086388176 | HV_real=0.5712064005327756 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=25 | time=1.8353264331817627 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.627293476346984e-05 | HV_sur=0.5716819701577684 | HV_real=0.5722005482979685 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=26 | time=1.8827390670776367 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.879848637549854e-05 | HV_sur=0.5721417566238457 | HV_real=0.5726307501361686 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=27 | time=1.8722541332244873 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.337572072972898e-05 | HV_sur=0.571965598536631 | HV_real=0.5724144556312943 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=28 | time=1.9231846332550049 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.77951356445761e-05 | HV_sur=0.5716155965382328 | HV_real=0.5721282517967669 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=29 | time=1.8928067684173584 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.890748577555422e-05 | HV_sur=0.571569946335848 | HV_real=0.572085748553583 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=30 | time=1.9675660133361816 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.727835085733064e-05 | HV_sur=0.5718821356866812 | HV_real=0.572398319486558 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=1 | time=2.019757032394409 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.723058524113995e-05 | HV_sur=0.5717812541018656 | HV_real=0.5722996222778106 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=2 | time=2.0074613094329834 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.389938444714578e-05 | HV_sur=0.5720095113130023 | HV_real=0.5725195973428727 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=3 | time=1.9956178665161133 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.033036539989914e-05 | HV_sur=0.5717751630196031 | HV_real=0.5722555080402509 | HV_bounds_check=True | solution_count=None
