timestamp,method,optimizer,problem,MSE_test_mean,MSE_test_std,MSE_sur_real_mean,MSE_sur_real_std,HV_sur_mean,HV_sur_std,HV_real_mean,HV_real_std
2026-06-17T15:11:37+01:00,XGBoost,NSGA-II,re21,1.72E+03,6.82E-13,1.12E+03,2.08E+02,5.34E-01,4.23E-04,5.32E-01,6.08E-03
2026-06-17T15:11:37+01:00,XGBoost,NSGA-II,re22,8.74E+03,3.64E-12,7.81E+02,7.21E+01,1.19E+00,9.78E-03,1.18E+00,7.88E-03
2026-06-17T15:11:37+01:00,XGBoost,NSGA-II,re23,1.66E+09,2.38E-07,5.10E+09,2.87E+09,1.21E+00,4.61E-05,1.21E+00,1.23E-04
2026-06-17T15:11:37+01:00,XGBoost,NSGA-II,re24,2.68E+02,1.14E-13,5.65E+01,1.29E+01,1.18E+00,2.22E-16,1.18E+00,2.54E-04
2026-06-17T15:11:37+01:00,XGBoost,NSGA-II,re25,8.33E+10,1.53E-05,2.51E+10,1.05E+10,1.12E+00,5.75E-04,1.12E+00,5.81E-05
2026-06-17T15:11:37+01:00,XGBoost,NSGA-II,mo-portfolio,5.78E-05,1.36E-20,1.02E-04,4.55E-05,1.35E-01,1.37E-03,1.72E-01,1.02E-02
2026-06-17T15:11:37+01:00,XGBoost,NSGA-II,truss2d,2.17E+12,4.88E-04,1.22E+07,3.74E+06,1.11E+00,1.54E-03,1.12E+00,9.42E-03
2026-06-17T15:11:37+01:00,XGBoost,NSGA-II,welded_beam,3.05E+04,3.64E-12,6.05E+00,3.25E+00,5.92E-01,1.95E-03,5.90E-01,3.19E-03
2026-06-17T16:24:16+01:00,Autogluon_Ensemble,NSGA-II,re21,4.30E+01,1.42E-14,1.34E+03,1.38E+02,5.24E-01,1.03E-04,5.71E-01,3.96E-04
2026-06-17T16:24:16+01:00,Autogluon_Ensemble,NSGA-II,re22,6.80E+03,9.10E-13,1.92E+05,1.15E+05,1.16E+00,6.47E-06,1.20E+00,8.35E-08
2026-06-17T16:24:16+01:00,Autogluon_Ensemble,NSGA-II,re23,1.27E+09,4.77E-07,7.48E+09,2.92E+09,1.23E+00,1.81E-03,1.21E+00,7.62E-06
2026-06-17T16:24:16+01:00,Autogluon_Ensemble,NSGA-II,re24,2.31E+01,0,1.08E+02,3.23E+01,1.18E+00,5.41E-06,1.19E+00,6.23E-05
2026-06-17T16:24:16+01:00,Autogluon_Ensemble,NSGA-II,re25,1.56E+10,3.82E-06,6.61E+10,9.32E+09,1.12E+00,3.48E-04,1.12E+00,1.93E-06
2026-06-17T16:24:16+01:00,Autogluon_Ensemble,NSGA-II,mo-portfolio,2.87E-06,1.27E-21,5.09E-04,5.87E-05,1.44E-01,1.47E-04,2.30E-01,5.35E-03
2026-06-17T16:24:16+01:00,Autogluon_Ensemble,NSGA-II,truss2d,2.31E+12,0,1.57E+08,7.49E+07,1.11E+00,1.45E-03,1.13E+00,3.48E-03
2026-06-17T16:24:16+01:00,Autogluon_Ensemble,NSGA-II,welded_beam,1.32E+04,3.64E-12,2.02E-01,2.66E-01,5.93E-01,1.01E-03,5.92E-01,1.01E-03
2026-06-18T17:47:25+01:00,TabPFN_3,NSGA-II,re21,5.40E-01,0,1.42E+01,1.12E+00,5.79E-01,3.06E-04,5.72E-01,2.97E-04
2026-06-18T17:47:25+01:00,TabPFN_3,NSGA-II,re22,1.27E+03,0,1.87E+06,3.73E+06,1.21E+00,1.88E-03,1.20E+00,3.14E-05
2026-06-18T17:47:25+01:00,TabPFN_3,NSGA-II,re23,1.37E+08,0,4.64E+08,4.16E+07,1.21E+00,1.62E-04,1.21E+00,1.07E-06
2026-06-18T17:47:25+01:00,TabPFN_3,NSGA-II,re24,3.45E+00,0,1.70E+01,1.30E+01,1.19E+00,1.23E-04,1.19E+00,6.80E-05
2026-06-18T17:47:25+01:00,TabPFN_3,NSGA-II,re25,3.41E+10,0,3.15E+08,6.58E+07,1.12E+00,3.21E-05,1.12E+00,5.87E-05
2026-06-18T17:47:25+01:00,TabPFN_3,NSGA-II,mo-portfolio,1.88E-07,0,9.44E-05,3.37E-05,2.99E-01,1.12E-02,2.72E-01,1.06E-02
2026-06-18T17:47:25+01:00,TabPFN_3,NSGA-II,truss2d,1.94E+12,2.44E-04,1.88E+07,1.44E+06,1.14E+00,9.68E-04,1.14E+00,9.23E-04
2026-06-18T17:47:25+01:00,TabPFN_3,NSGA-II,welded_beam,1.32E+02,0,9.24E-02,1.14E-01,5.93E-01,9.46E-04,5.93E-01,1.04E-03
