
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=24 | time=426.25837683677673 | MSE_test=708909.0537591684 | MSE_sur_real=136314.91398071093 | HV_sur=1.2099998625000175 | HV_real=0.7670555431842154 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=25 | time=432.88561248779297 | MSE_test=708909.0537591684 | MSE_sur_real=267684.2822296037 | HV_sur=1.2099998625000175 | HV_real=0.7769640990038708 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=26 | time=424.8965976238251 | MSE_test=708909.0537591684 | MSE_sur_real=61725.550137927305 | HV_sur=1.2099998625000175 | HV_real=0.9664400205298649 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=27 | time=425.9425389766693 | MSE_test=708909.0537591684 | MSE_sur_real=319211.7636640047 | HV_sur=1.2099998625000175 | HV_real=0.741056469932766 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=28 | time=424.2336525917053 | MSE_test=708909.0537591684 | MSE_sur_real=35246.1272697696 | HV_sur=1.2099998625000175 | HV_real=1.0621258500794 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=29 | time=425.00395035743713 | MSE_test=708909.0537591684 | MSE_sur_real=87446.39523712284 | HV_sur=1.2099998625000175 | HV_real=0.7833723912329025 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=30 | time=425.0712311267853 | MSE_test=708909.0537591684 | MSE_sur_real=79292.86087375815 | HV_sur=1.2099998625000175 | HV_real=0.8764987698916898 | HV_bounds_check=None | solution_count=50

# 2026-06-18T18:34:00+01:00 | Prob-MOEA/D
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=1 | time=425.56839394569397 | MSE_test=805.8690862196979 | MSE_sur_real=0.5666120088792607 | HV_sur=0.599255785473055 | HV_real=0.597278167785039 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=2 | time=425.9777789115906 | MSE_test=805.8690862196979 | MSE_sur_real=0.30684256066360516 | HV_sur=0.5991944988195848 | HV_real=0.5976033842132736 | HV_bounds_check=None | solution_count=50
